system:index,BSI,COD_MzEnt,Celsius,EVI,ID,NDVI,SAVI,.geo
0000000000000000520c,-0.08362528848559546,10101011001003,5.3407698884633,-0.26529936443502544,1.0,0.05908311655448362,0.08861291398983068,"{""type"":""Polygon"",""coordinates"":[[[-72.9434554519445,-41.46827978466775],[-72.94331721746866,-41.468788124236916],[-72.94327711683971,-41.46880598086579],[-72.94325035304539,-41.468801461157916],[-72.94266172903616,-41.46870783961533],[-72.9426171225952,-41.468676641582306],[-72.942746436194,-41.46819506119304],[-72.94277320004504,-41.46817717704934],[-72.94279104261072,-41.46815934417348],[-72.94282672773808,-41.468150459335675],[-72.94343760942866,-41.468248581099296],[-72.9434554519445,-41.46827978466775]]]}"
0000000000000000520d,-0.11060523459917973,10101011001004,5.338552576115235,-0.7001843134152312,2.0,0.08463766434642471,0.12693633604411403,"{""type"":""Polygon"",""coordinates"":[[[-72.94298280505036,-41.466964318011826],[-72.94273309932434,-41.46787848390582],[-72.94255025797504,-41.46856067403826],[-72.94234065258847,-41.46927861649612],[-72.94227829359859,-41.4693009470388],[-72.94166290321041,-41.46920279942441],[-72.94157819566668,-41.469189456852206],[-72.94152466769263,-41.469198368968335],[-72.94151133075445,-41.46921169431523],[-72.94152908330038,-41.4691492639942],[-72.94152908330038,-41.46914481296729],[-72.94156035300999,-41.46898429235734],[-72.94163613923443,-41.468770237454315],[-72.94167182453508,-41.46856958643727],[-72.94174319512031,-41.46823519700548],[-72.94174319512031,-41.46823074590243],[-72.94172084675755,-41.46799885277532],[-72.94163172362867,-41.46790078593159],[-72.9416807458594,-41.467882878504405],[-72.94209094618819,-41.46761980672686],[-72.94214897974523,-41.46754399627223],[-72.94219349615983,-41.4674815583608],[-72.94220241746459,-41.46735227466253],[-72.9422158444782,-41.467098078753615],[-72.94220692317394,-41.46696437127827],[-72.9422247657821,-41.466870719038106],[-72.94224702398336,-41.46684391377082],[-72.94229163049377,-41.46682607506358],[-72.9423451582952,-41.46681716167874],[-72.94243428115674,-41.46682160561807],[-72.94259035872658,-41.466852861138754],[-72.94289809797674,-41.46688851114846],[-72.94296045680407,-41.46691529056034],[-72.94298280505036,-41.466964318011826]]]}"
0000000000000000520e,-0.09991549646787679,10101011001005,6.157898278073897,-0.5489326014241149,3.0,0.047471321966749296,0.07119832869466226,"{""type"":""Polygon"",""coordinates"":[[[-72.94230496738817,-41.46939454792483],[-72.94215781093745,-41.469902850130815],[-72.94210437320807,-41.46992075220262],[-72.94147113970655,-41.46981818036663],[-72.94142653304226,-41.469791433322015],[-72.94156476861708,-41.46931426650527],[-72.94157819566668,-41.46928752766702],[-72.94159153260111,-41.46926967712767],[-72.94163613923443,-41.469260741952525],[-72.94226045099444,-41.469358912739835],[-72.94230496738817,-41.46939454792483]]]}"
0000000000000000520f,-0.07139663597857357,10101011001006,5.45181129400167,-0.24590323624330312,4.0,0.08649679825640444,0.12972564147795207,"{""type"":""Polygon"",""coordinates"":[[[-72.94411544386199,-41.469046738446956],[-72.94399054656978,-41.46952386874852],[-72.94394594037809,-41.46955506018792],[-72.94368731441483,-41.46953274970993],[-72.94360260759218,-41.46954618920169],[-72.9435580013277,-41.46959073346815],[-72.94340192439299,-41.47004560322999],[-72.94335731809086,-41.47008124493767],[-72.94326819557527,-41.470094605047585],[-72.94231839439598,-41.4699563792192],[-72.94228270919234,-41.46991622843575],[-72.94229163049377,-41.46988502040641],[-72.94257702184818,-41.46885948433132],[-72.94259486442857,-41.46879254163271],[-72.94263947087373,-41.46877922891461],[-72.94409309572217,-41.469002163825905],[-72.94411544386199,-41.469046738446956]]]}"
00000000000000005210,-0.08918997001588964,10101011001007,4.043954408111201,-0.4005106109175305,5.0,0.06740719106699852,0.1010972625380536,"{""type"":""Polygon"",""coordinates"":[[[-72.94495367781484,-41.46917605000376],[-72.94482887107624,-41.469644293256934],[-72.94478426504186,-41.469671034062955],[-72.94474858020833,-41.46967101720985],[-72.94413770188626,-41.46958180514707],[-72.94412878065411,-41.46957740548276],[-72.94410201695567,-41.46953720354778],[-72.94423583541779,-41.46905564475468],[-72.94428485711165,-41.469033359482026],[-72.94492249866462,-41.46912701545912],[-72.94495367781484,-41.46917605000376]]]}"
00000000000000005211,-0.12149017586443502,10101011001008,5.162597918131199,-0.35912451293450415,6.0,0.1203121259842972,0.18043822750469918,"{""type"":""Polygon"",""coordinates"":[[[-72.94654561130267,-41.47000101716548],[-72.94653669016091,-41.47003222597954],[-72.94639845747709,-41.47058959363626],[-72.94634943621918,-41.47077686213799],[-72.94590797410456,-41.470696607875716],[-72.94602836475235,-41.47027302472023],[-72.94597042225509,-41.47026405646102],[-72.94585003157792,-41.4706832627445],[-72.94556464415268,-41.47063418287742],[-72.94555121732823,-41.47067879998604],[-72.94634051507005,-41.47082149753715],[-72.94626914586497,-41.471093492187315],[-72.9462022822721,-41.47135652749757],[-72.94610414955251,-41.471744471060035],[-72.9460372859132,-41.471771235551365],[-72.94507406894607,-41.47163299410853],[-72.94506965340418,-41.47159285743976],[-72.94519896566898,-41.47124504627918],[-72.94514994416363,-41.47123617445166],[-72.94501612621612,-41.4715884181761],[-72.9449849470741,-41.47161964979882],[-72.94427593588502,-41.471517056770665],[-72.94197947485954,-41.47116038268696],[-72.94193486829057,-41.471120209471636],[-72.94225152969186,-41.47002772581478],[-72.94230496738817,-41.47000989788697],[-72.94314780352948,-41.47013473217468],[-72.94331280189412,-41.47014813131896],[-72.94334398125547,-41.4701525814348],[-72.9433885875601,-41.47013919467473],[-72.94341976691149,-41.47012584085995],[-72.9434554519445,-41.47009462723531],[-72.94347771003055,-41.47006337237393],[-72.94362045009562,-41.46961752549513],[-72.94366055066668,-41.469595218045995],[-72.9437363362218,-41.46959518293011],[-72.94428035144168,-41.46965315032116],[-72.94481994987004,-41.46973789056694],[-72.94486005023874,-41.46972003361184],[-72.9449046562589,-41.469662061361824],[-72.94503847426917,-41.46918495232897],[-72.94506514774908,-41.46917157934679],[-72.94510083253508,-41.46915824278166],[-72.9457473930707,-41.469256293097516],[-72.94576081988409,-41.46927413826097],[-72.94577866222554,-41.46930089004415],[-72.94565376580728,-41.46973788941375],[-72.94566719262595,-41.4697735386128],[-72.94571621402461,-41.469800288514506],[-72.94587670496674,-41.469835994351584],[-72.94625130356036,-41.46989843010995],[-72.94650100559052,-41.46994749172226],[-72.94652776901881,-41.469965289494525],[-72.94654561130267,-41.47000101716548]]]}"
00000000000000005212,-0.09295912656874436,10101011001009,6.241725670582846,-0.4122689200508035,7.0,0.041884247525240254,0.0628189350627403,"{""type"":""Polygon"",""coordinates"":[[[-72.94214005843847,-41.47001883980483],[-72.94211329451618,-41.47011691446292],[-72.94201074450994,-41.47047814719529],[-72.94193486829057,-41.470500421602544],[-72.9419126100601,-41.47049591990449],[-72.94129280311375,-41.470415716991404],[-72.94126603909612,-41.47039784396594],[-72.94139084770481,-41.469916264844976],[-72.94139976903968,-41.469893958925944],[-72.94145780276536,-41.469880614554924],[-72.94209094618819,-41.46997872180604],[-72.94214005843847,-41.47001883980483]]]}"
00000000000000005213,-0.0721105805549289,10101011001010,5.706015666789174,-0.06632038848555656,8.0,0.025419426318622707,0.03812661196842165,"{""type"":""Polygon"",""coordinates"":[[[-72.94196163223295,-41.47065204456104],[-72.94183682392377,-41.47110683928221],[-72.94177437468744,-41.47112915461415],[-72.94113672469244,-41.47104437907106],[-72.94111446638729,-41.47100872110304],[-72.94121701677994,-41.470585107213],[-72.94123485946237,-41.47051824143744],[-72.94126603909612,-41.47050043765001],[-72.94130614006419,-41.47050483735312],[-72.94191702566066,-41.47058509136679],[-72.94196163223295,-41.47065204456104]]]}"
00000000000000005214,-0.08576399656833336,10101011001012,5.146730730278842,-0.29527087471298846,9.0,0.03333804803632229,0.05000208946762762,"{""type"":""Polygon"",""coordinates"":[[[-72.94031622992169,-41.47040677552166],[-72.94019583638175,-41.47087945003907],[-72.9401601508597,-41.47090168563552],[-72.93955818215595,-41.47080364031947],[-72.939513575133,-41.470799147192444],[-72.93948681091524,-41.47075456865578],[-72.93961171057242,-41.47029526628743],[-72.93964289041891,-41.470273012132814],[-72.93966523897687,-41.47026410114788],[-72.93968308177567,-41.470264073485104],[-72.94028505016345,-41.47035329024995],[-72.94031622992169,-41.47040677552166]]]}"
00000000000000005215,-0.08762580319733283,10101011001014,4.671805395048508,-0.19281556678952214,10.0,0.021355257239430242,0.03203146131848548,"{""type"":""Polygon"",""coordinates"":[[[-72.93851473609053,-41.4708080862581],[-72.93839884742067,-41.471249540733155],[-72.93834531873141,-41.47128077846922],[-72.9377121653422,-41.47118264674638],[-72.93769432239566,-41.47111576347872],[-72.93777903132194,-41.47083038498529],[-72.9378414816068,-41.47078581822709],[-72.93831855438228,-41.47074564431909],[-72.9384523760979,-41.47075905109313],[-72.93848355609626,-41.470781306167915],[-72.93851473609053,-41.4708080862581]]]}"
